Rseq,P_Tm,NBd_Tm,NBe_Tm,NBg_Tm,PB_Tm,NBBd_Tm,NBBe_Tm,NBBg_Tm
1.05,122.2281212,33.78138836,113.0752567,35.60469012,57.4265005,20.87447484,49.70453557,18.86305299
1.1,224.0222256,33.45497225,178.1445995,38.05170656,61.16136873,16.63902748,58.59929181,17.14632486
1.2,1120.085,44.64676,546.0314725,45.73730853,96.27463,19.28445,87.10825504,17.48673296
1.4,28683.106,96.58815,4589.694129,70.87314952,264.68838,22.50721,167.4878858,19.3272023
1.6,169872.496,185.05347,20162.02903,119.3605468,601.34813,24.6491,302.7226985,21.74057004
1.8,NA,339.58901,83060.25287,176.2572604,1284.13085,28.9276,467.9964646,24.22046213
2,NA,592.62019,256726.5851,259.0072063,2309.70651,35.48881,693.556459,27.21857521
2.2,NA,942.1253563,713464.4851,343.51127,3731.255899,44.98779534,880.2652775,30.47775572
2.4,NA,1445.828767,654767.5491,429.5457676,6450.717944,46.18129912,1081.863249,35.09947062
2.6,NA,2339.217072,567686.4242,519.983511,7790.823357,57.40989844,1320.175286,35.30338098
2.8,NA,3447.965962,173869.4964,665.5231399,11211.69597,56.38702054,1383.508186,40.06929881
3,NA,4023.325552,211840.9956,736.1992897,13519.37781,58.37164395,1450.138661,37.93154593
3.2,NA,5354.963533,697476.4854,752.5055971,14420.66039,62.27687707,1516.724023,40.84906215
3.4,NA,6808.630304,256769.5896,798.0910731,16582.67761,60.89265268,1416.80333,37.51167427
3.6,NA,7429.034803,152123.784,779.0802698,18535.38,68.92031982,1289.88111,34.20449608
3.8,NA,8191.181837,117918.0535,696.0431298,19964.99539,66.99941545,1113.998244,39.06266386
4,NA,8430.518795,96244.1477,582.4361209,17745.65408,64.79920583,1002.317952,34.931577
4.2,NA,7430.16129,50608.28001,515.7081714,17605.01558,64.75686403,807.4180077,35.06377539
4.4,NA,6672.020157,33384.04505,476.5341912,15680.54586,66.76904131,683.4536928,31.2345096
4.6,NA,6259.211838,27815.63984,392.0873295,12748.03149,62.59516987,544.5272461,29.6704085
4.8,NA,4558.728716,17204.43975,339.923163,13292.13488,56.50921602,461.879974,28.82005102
5,NA,3794.035312,11730.73704,274.2371098,10454.3853,50.64709822,371.6111993,27.61839635
5.2,NA,2865.942402,8077.658706,231.3809298,8889.413732,45.38575613,326.1272096,25.53669652
5.4,NA,2321.535039,5517.117167,199.8791372,6736.668849,51.16115158,271.6183724,23.37641768
5.6,NA,1774.27951,3778.029665,185.1541453,6394.713783,44.64362959,225.6852814,21.30796655
5.8,NA,1508.276647,2978.485247,147.7817348,4622.892251,38.63040434,186.3498283,21.82993502
6,NA,1105.457264,2495.690593,129.7160529,3423.21735,38.1843744,170.7210686,21.2630166
6.2,NA,879.1499777,1664.719856,116.8969045,2850.280041,34.72989523,144.4050939,18.03908625
6.4,NA,726.0325893,1299.445787,98.33378918,2333.517374,29.34025812,122.1254602,19.61913484
6.6,NA,593.5920432,1025.650268,89.03550369,1751.639578,29.03159738,99.33778282,17.26419294
6.8,NA,507.6160476,814.9263212,81.41874978,1378.572813,28.08832696,88.72541438,15.89913713
7,NA,409.3410379,694.8047706,76.82920032,1104.917328,25.83691004,80.74959761,14.96975325
7.2,NA,357.4477788,534.2550036,63.45533308,857.9999017,23.98346399,71.83493972,17.97861564
7.4,NA,307.9975943,431.4494945,57.18613021,711.4542096,25.12760304,69.49912484,14.74211694
7.6,NA,239.2696003,374.3253714,54.33727373,566.6480511,22.36612387,54.06466719,12.78655226
7.8,NA,207.4155734,306.7951379,52.05461807,466.3167894,19.9258532,52.56633691,12.70772179
8,211125.7039,192.875,253.6239134,45.27460802,401.8341982,21.37198114,51.92544561,12.83276481
8.2,321860.5684,159.6546316,223.3180357,39.72762674,298.8831044,17.69919147,47.71119791,12.68215162
8.4,145015.1158,146.6876005,191.8313685,39.46766827,277.8709603,17.8735094,38.84429488,12.14542514
8.6,86564.52203,127.3003394,174.5060439,38.0510411,227.4588861,16.50724209,34.96275731,11.46158515
8.8,57005.65629,115.0833404,156.4479672,35.18202677,187.8346111,15.90950759,32.0945414,10.2939544
9,41554.65638,98.4352081,135.435428,30.19842389,170.3158711,14.5383,30.76113365,11.30332896
9.2,30717.24331,92.29738925,117.4466474,28.70295258,143.493176,14.4780207,30.20227223,10.59597078
9.4,23900.56872,78.45698548,104.6586388,25.53233175,123.3165946,14.30258151,26.89817888,10.27500024
9.6,16974.1146,71.82794137,91.75329771,25.34998598,107.8183919,12.61132886,24.63647055,9.797639177
9.8,12848.83534,63.52814578,86.48566119,27.60054842,93.96879929,12.91920549,23.82636474,9.25567882
10,11100.24577,62.09123161,74.69744338,24.07053565,76.7305171,12.927794,21.61180492,9.671189598
10.2,6654.97779,52.13266688,73.14399349,21.99579261,76.04855635,11.647409,19.75496687,8.097116363
10.4,5920.84575,54.67549275,60.1683209,22.33172643,66.57118245,11.119985,21.06160351,8.217803472
10.6,4435.57644,44.95238505,54.73786198,21.341916,54.85302092,10.782159,18.77021467,7.466832553
10.8,3240.02214,44.46894937,49.97833643,18.4661752,55.40130463,11.447595,16.84531144,7.995603272
11,2428.39274,39.47997146,46.08369461,20.38003027,46.17242885,10.02313,15.62553096,8.154876195
11.2,2160.16736,36.93547163,44.91067991,18.61994137,41.32597858,9.825554,15.80899789,7.992130359
11.4,1667.78365,38.40933864,41.28019123,16.35860042,42.26431481,9.534854,15.74800323,7.22202648
11.6,1295.5774,31.55014856,38.47934878,15.92881091,33.25271403,8.662403,13.80192667,6.822763986
11.8,982.30899,31.0763728,34.29820664,14.65162916,33.09752198,8.877956,13.65828346,6.83995062
