sigma,NBBg_R,NBBg_a,NBBg_kD,NBBg_kE
0.05,2.380601808,0.003616311,0.534974123,64.9486352
0.05,2.954639216,0.003709109,2.328964689,21.4495463
0.05,2.706945166,0.003814459,1.083273438,19.76325083
0.05,2.724324941,0.003749994,1.138011277,13.08678764
0.05,2.529521703,0.003425476,0.900339701,32.2930343
0.05,2.726316862,0.003757194,2.905233675,14.38068852
0.05,2.714853667,0.003756831,0.800121375,20.45514613
0.05,2.816849185,0.003865588,1.163971796,18.5875463
0.05,2.379028823,0.00362537,1.782995192,28.1630025
0.05,2.449275905,0.00349368,1.017031102,16.46441108
0.05,2.720909055,0.003776715,1.659276084,50.04870609
0.05,2.713511648,0.00353573,1.269042758,22.89350977
0.05,2.805274907,0.004002147,0.639362485,59.5383211
0.05,2.84146179,0.004026637,0.778472705,160.2136145
0.05,2.386515196,0.003794176,1.064018528,45.32799114
0.05,2.21100759,0.003512984,1.359966295,25.38787615
0.05,2.526738311,0.003910159,8.202616069,19.04684369
0.05,2.698838821,0.003575173,1.771257805,16.53477178
0.05,2.825740943,0.003780067,0.46823868,100.0767149
0.05,2.423060294,0.003503849,2.210016319,20.04672109
0.05,2.493436907,0.003455959,0.840507977,42.76569889
0.05,2.626026598,0.003652705,0.899105971,45.49658835
0.05,2.421470891,0.003559269,0.804147511,31.29860089
0.05,2.266844849,0.003322889,1.576326629,49.07921432
0.05,2.83412335,0.003763133,3.87640366,19.77392452
0.05,2.921156709,0.003860072,1.256772047,42.68183187
0.05,2.776580906,0.003821812,1.353176242,29.15188811
0.05,2.579349161,0.003738908,0.88403931,40.38377804
0.05,2.484353807,0.003696596,2.549370792,13.87993387
0.05,2.855740174,0.003787266,1.054491537,10.47157144
0.05,2.761087696,0.003581137,1.619680681,18.05708245
0.05,2.336934188,0.003494013,2.047033436,17.95880958
0.05,2.432187113,0.003452886,1.391339343,23.80576834
0.05,2.687632543,0.003632002,8.752041832,17.42698721
0.05,2.450289013,0.003728291,1.101346356,16.52607096
0.05,2.425266238,0.003683216,1.090440404,26.4141275
0.05,2.650436658,0.003834629,2.414367598,36.34308077
0.05,2.614419638,0.003692508,1.356416549,17.50991004
0.05,2.753645266,0.003721933,0.665879733,64.26873722
0.05,2.443914588,0.003662633,0.904523892,61.34132837
0.05,2.705456361,0.003867028,1.34073826,17.22676263
0.05,2.542086931,0.003636887,0.659303495,14.7301424
0.05,2.495839553,0.003695604,0.918137682,54.98446346
0.05,2.686938604,0.003717515,0.9718661,11.86499224
0.05,2.864407459,0.004073446,0.988973274,50.4698207
0.05,2.53757993,0.003652873,0.7307211,23.54542305
0.05,2.887818139,0.00392116,1.308115605,24.09476383
0.05,2.867974169,0.003785055,0.956799108,32.28871302
0.05,2.67139086,0.003736065,4.52997352,17.81682695
0.05,2.828534872,0.003764059,2.461555963,15.36325255
0.1,2.466070569,0.003652961,1.245958576,15.42334174
0.1,2.488151262,0.003612275,1.07687473,11.76522288
0.1,2.740348013,0.003955329,1.687536032,28.64948007
0.1,2.506213786,0.003681959,0.895558024,15.44033022
0.1,2.305272212,0.003287257,1.050541813,39.31795202
0.1,2.650405849,0.003524587,0.665813961,43.55814702
0.1,2.588992195,0.003646212,5.795286495,21.28219856
0.1,2.870039683,0.003721178,2.974758909,14.86805312
0.1,2.531574206,0.003571436,0.749962901,42.23283511
0.1,2.775046725,0.003810151,1.410730938,29.86967554
0.1,2.770703173,0.00379959,1.344088708,11.90050426
0.1,2.740245219,0.003809132,2.081752602,17.76727875
0.1,2.787281808,0.003513793,2.176762821,12.97640714
0.1,2.645982858,0.00353607,0.905414362,17.55047763
0.1,2.5960666,0.0035001,0.681630488,20.03150941
0.1,2.510614672,0.003543574,2.766854182,17.89338818
0.1,2.481376374,0.00337793,1.226406047,16.93024313
0.1,2.775164811,0.003742009,1.700824999,14.02462238
0.1,2.286114986,0.003336991,1.168028286,11.86892183
0.1,2.799770161,0.00347422,1.155026102,22.54171681
0.1,3.097496229,0.004215833,1.36234643,18.32924754
0.1,2.761297315,0.003602271,6.269193294,6.981530623
0.1,2.330884944,0.00334744,2.691381333,13.35874804
0.1,2.582986389,0.003525714,1.431456017,27.76644772
0.1,2.512014707,0.003824351,1.064522154,21.98119711
0.1,2.826559272,0.003479751,0.84529433,33.83526475
0.1,2.259173436,0.003207492,0.643333558,44.22193248
0.1,2.895067333,0.003773908,0.852007232,33.75757298
0.1,2.137923211,0.003175701,1.259485613,15.37944306
0.1,2.628682524,0.003626152,0.746258378,38.46634814
0.1,2.420392245,0.003269494,1.671954533,15.95000331
0.1,2.649731508,0.003867937,5.321222834,13.22967672
0.1,2.730888505,0.003717865,0.568771336,28.16525185
0.1,2.778875803,0.003853321,0.946996891,23.61072934
0.1,2.862783805,0.004037996,4.734422993,7.159254996
0.1,2.809079581,0.003865267,0.72491253,25.32572543
0.1,2.815982909,0.003947924,0.614793549,33.44023707
0.1,2.135308844,0.00311443,0.733881381,13.3964363
0.1,2.908550884,0.003837771,1.068669271,45.64714878
0.1,2.678403387,0.003547612,3.389915839,9.267679727
0.1,3.000312164,0.004014537,1.606035883,14.72715456
0.1,2.710003444,0.004006406,1.690770495,23.54773928
0.1,2.680513491,0.003693533,1.029647589,57.81099275
0.1,2.609318326,0.003623987,0.782131115,25.18267253
0.1,2.753116036,0.003493958,1.094800387,30.95198408
0.1,2.676813045,0.003835592,1.503828567,19.27747608
0.1,2.537685002,0.003533061,0.899186709,33.74393046
0.1,2.843964502,0.003959559,1.101843226,43.16413881
0.1,2.858778189,0.004115481,1.629649225,15.99111053
0.1,2.41043665,0.00310311,0.916757503,9.939974876
0.15,2.573160652,0.003388842,0.952296739,15.92749026
0.15,2.304845774,0.003347522,0.827511924,9.554618796
0.15,2.45284156,0.003616904,0.756570849,19.20862099
0.15,2.95967532,0.004495905,0.484871612,789.9945378
0.15,2.803203543,0.00371856,525.9115103,7.484681551
0.15,2.486697238,0.003794914,1.117059549,27.18724082
